Purchase Expenses,,,,AMOUNT,,,Category,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Purchase Price,,,,"$175,000.00",,,Purchase expense,,Total Cash OOP,,$0.00
EMD,,,,,,,Purchase expense,,Credit for draws,,
Commitment Fee,,,,,,,Purchase expense,,Rehab Cost,,"$20,789.79"
,,,,,,,Purchase expense,,,,
Appraisal ,,,,,,,Purchase expense,,Total Cash in Deal,,"$20,789.79"
Mortgage Payments Final,,,,$0.00,,,Ongoing Expense,,,,
Utility Cost Final ,,,,$0.00,,,Ongoing Expense,,Closing Cash Back,,
Purchase Settlement Charges w/ Downpayment,,,,,,,Purchase expense,,Total Cash in Deal,,"$20,789.79"
,,,,,,,Ongoing Expense,,,,
,,,,,,,Refundable expense,,Profit,,"-$20,789.79"
,,,,,,,,,,,
Total,,,,$0.00,,,,,Split,,"-$10,394.90"
,,,,,,,,,,,
,,,,,,,,,,,
Supplier,,,,Amount,,,Category,,,,
,,,,,,,,,,,
Lowes,,,,"$1,712.84",,,Building Materials/applainces,,,,
Echols Plumbing Draw 1 Paypal,,,,"$3,500.00",,,Labor,,,,
Super Steamer,,,,$75.00,,,Labor Carpet Cleaning,,,,
Echols Plumbing Draw 2 Paypal,,,,"$3,500.00",,,Labor,,,,
Echols Plumbing Draw 3 Paypal,,,,"$5,000.00",,,Labor,,,,
Echols Plumbing Draw 4 Paypal,,,,"$3,500.00",,,Labor,,,,
Echols Plumbing Draw 5 Final Payment,,,,"$3,175.00",,,Labor,,,,
Homewisedocs,,,,$326.95,,,Condo Docs,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total,,,,"$20,789.79",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Credits for returns,,,,Amount,,,Category,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total Credits,,,,$0.00,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total Renovation Cost,,,,"$20,789.79",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Draws Received ,,,,,,,,,,,
,,,,,,,,,,,
Bank Draw 1,,,,,,,,,,,
Bank Draw 2,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total,,,,$0.00,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Mortgage Payments Made,,,,,Utility Payments Made,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Total,$0.00,,,,$0.00,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Estimated Resale Cost,,,,,,,,,,,
,,,,,,,,,,,
Sale Price,,,"$238,900.00",,,,,,,,
,,,,,,,,,,,
Purchase Price,,,"$175,000.00",,,,,,,,
Acq. Closing Cost,,,,,,,,,,,
Sale Commissions,,,"$14,334.00",,,,,,,,
Sale Closing cost,,,"$3,583.50",,,,,,,,
Rehab Cost,,,"$20,789.79",,,,,,,,
Holding Cost,,,$0.00,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Estimated Profit,,,"$25,192.71",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Notes,,,,,,,,,,,